tandem_value,dat_tim,rec_typ,auth_ppd,term_ln,term_fiid,term_id,crd_ln,crd_fiid,crd_num_19,brch,regn_id,term_typ_r,auth_typ_cde,auth_typ,auth_rte_stat,auth_originator,auth_responder,auth_entry_tim,auth_exit_tim,auth_re_entry_tim,auth_tran_dat_ymd,auth_tran_tim_hms,auth_tran_tim_tt,auth_post_dat_ymd,acq_ichg_setl_ymd,switch_date_fill,switch_date,switch_mm,switch_dd,iss_ichg_setl_ymd,seq_num,term_typ,tim_ofst,reference_1,acq_inst_id_num1,acq_inst_id_num2,rcv_inst_id_num1,rcv_inst_id_num2,cup_filler_1,cup_post_date,cup_filler_2,ref1_scsmg,billpay_ref1,tran_cde,tran_cde_frm,tran_cde_to,from_acct,receive_slip,to_acct,mult_acct,amt_1_full,amt_2_full,amt_3,dep_bal_cr,atc_counter,term_cability,dep_typ,emv_flag,resp_byte,term_name_loc,term_owner_name,term_city,term_st_x,term_cntry_x,to_acct_fee,acq_fee,iss_fee,change_acct,change_amt,orig_crncy_cde,auth_crncy_cde,auth_conv_rate,auth_crncy_amt,from_bank_code,to_bank_code,pcc_trace_no,bill_cnt_20,bill_cnt_100,bill_cnt_500,bill_cnt_1000,to_acct_name_benef,rvsl_rsn,pin_ofst,shrg_grp,dest_order,auth_id_resp,refr_imp_ind,refr_avail_imp,refr_ledg_imp,refr_hld_amt_imp,dep_setl_imp_flg,adj_setl_imp_flg,refr_ind_pbf1,refr_ind_pbf2,refr_ind_pbf3,refr_ind_pbf4,user_fld4,fee_amt,fee_amt_1,sub_type_from,sub_type_to,barcode_typ,tfr_ir_flg_fee,change_typ,reference_2,frwd_inst_id_num,crd_accpt_id_num,campaign_no,campaign_flag,code_scsmg,phone_cust_ncb,billpay_ref2,crd_iss_id_num,bill_cnt1_4,hopr1_amt,hopr2_amt,hopr3_amt,hopr4_amt,auth_branch_from,auth_branch_to,track2,cb_teller_id,cb_serial_no,card_type,sub_type,dcc_term_group,dcc_mark_up,interchange_tran_type,promptchai_flag,any_id_type,proxy_id,sender_name,proxy_type,acq_bank,iss_bank,dest_bank,pin_block_type,to_acct_name_sender,to_acct_disp_name,sender_tax_id,receiver_tax_id,vtm_bill_cnt,vtm_hopr1_amt_100,vtm_hopr2_amt_0500,vtm_hopr3_amt_1000,vtm_hopr4_amt_0020,vtm_hopr5_amt_0005,vtm_hopr6_amt_0001,special_scb_fee,special_ven_fee,billpay_ref3,rtp_ref_id,app_src_of_trans,app_inf_to_atm,typ_sender,typ_recv,waive_fee_flag,promptchai_wvfee_flag,p2p_billpay_norm_flag,special_bill_flag,verf_pin,mg_commit_date_time,mg_trans_ses_id,mg_tran_status,mg_sender_first_nm,mg_sender_last_nm,mg_sender_cnty,mg_rec_photo_num,mg_recv_dob,mg_recv_first_nm,mg_recv_last_nm,mg_recv_cnty,mg_recv_pos_trn,mg_relation_sender,mg_recv_occup,mg_receive_amt,mg_disp_amt_1,mg_disp_amt_2,mg_remain_amt_1,mg_remain_amt_2,mg_remain_fee,amlo_name,amlo_acct,amlo_id,amlo_crd_flag,amlo_crd_fiid,cr_border_txn_id,cr_usd_amt,cr_cncy_cde,cr_fx_rate,cr_fee,,,,,
DR,2.12643E+17,2,UGAR,UAT1,SCB,S1GCR6931,UAT1,SCB,5.57756E+15,501,501,R,31,210,0,1,3,2.12643E+17,0,0,260416,93041,91,260416,0,0,0,0,0,0,8679,30,0,9E+21,,,,,,,,,,31,0,41,0,0,0,0,0,0,0,0,0,5,F,F,1,HITACHI ADM2 XP,SIAM COMERCIAL,?,,#H,0,0,0,0,0,764,0,0,34723282.96,0,0,0,0,0,0,0,3.47233E+18,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,6.30022E+13,63,22,156,35,0,0,5577557613021139=2708              4500,,,45,0,F5,0,00N,N,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,0,N,,N,N,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,0,30:41.0,10:51.6,,NULL,NULL
DR,2.12643E+17,2,UGAR,UAT1,SCB,S1GCR6931,UAT1,SCB,5.57756E+15,501,501,R,31,210,0,1,5,2.12643E+17,2.12643E+17,2.12643E+17,260416,93050,60,260416,0,0,0,0,0,0,8680,30,0,9E+21,,,,,,,,,,35,0,1,0,0,5013248281,0,0,0,0,501000000,573,5,T,T,0,HITACHI ADM2 XP,0,AT        ?,,#H,0,0,0,,0,764,,0,0,,,,0,0,0,0,TESTFISUAT,0,0,0,P,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,6.30022E+13,63,22,156,35,,501,5577557613021139=2708000000000000004500,0,0,45,0,T5,5,73N,N,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,0,N,,N,Y,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,30:50.0,10:51.6,,NULL,NULL
DR,2.12643E+17,1,UGAR,UAT1,SCB,S1GCR6931,UAT1,SCB,5.57756E+15,501,501,R,30,210,0,1,5,2.12643E+17,2.12643E+17,2.12643E+17,260416,93140,40,260416,0,0,0,0,0,0,8682,30,0,9E+21,,,,,,,,,,20,0,1,0,0,5013248281,0,9100,65646.3,65646.3,0,575,5,T,T,0,HITACHI ADM2 XP,6005006000,AT        ?,,#H,0,0,0,,0,764,,0.0006005,0,,,6005006,0,6,5,6,TESTFISUAT,0,0,0,P,0,0,0,0,1,0,0,,,,,100,0,0,0,1,0,0,0,0,,,,,,,,0,6.30022E+13,63,22,156,35,,501,5577557613021139=2708000000000000004500,0,0,45,0,T5,5,75N,N,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,0,N,,N,Y,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,31:40.0,10:51.6,,NULL,NULL
DR,2.12643E+17,2,UGAR,UAT1,SCB,S1GCR6944,UAT1,SCB,5.57756E+15,111,1,R,31,210,0,1,3,2.12643E+17,0,0,260416,93224,76,260416,0,0,0,0,0,0,6440,30,0,9E+21,,,,,,,,,,31,0,41,0,0,0,0,0,0,0,0,0,5,F,F,1,HITACHI ADM2 XP,SIAM COMERCIAL,"""",,4H,0,0,0,0,0,764,0,0,34723282.96,0,0,0,0,0,0,0,3.47233E+18,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,3.0034E+12,3,34,18,52,0,0,5577557613021139=2708              4500,,,45,0,F5,0,00N,N,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,0,N,,N,N,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,0,32:24.0,10:51.6,,NULL,NULL
DR,2.12643E+17,1,UGAR,UAT1,SCB,S1GCR6944,UAT1,SCB,5.57756E+15,111,1,R,31,210,0,1,3,2.12643E+17,0,0,260416,93240,79,260416,0,0,0,0,0,0,6441,30,0,9E+21,,,,,,,,,,10,11,0,0,0,0,0,1600,0,0,0,576,5,T,T,53,HITACHI ADM2 XP,0,"""",,4H,0,0,0,,0,764,0,0,34723282.96,0,0,0,0,0,0,0,3.47233E+18,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,3.0034E+12,3,34,18,52,0,0,5577557613021139=2708000000000000004500,0,0,45,0,T5,5,76N,N,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,0,N,,N,N,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,0,32:40.0,10:51.6,1,NULL,NULL
DR,2.12643E+17,1,UGAR,UAT1,SCB,S1GCR6944,UAT1,SCB,5.57756E+15,111,1,R,31,210,0,1,3,2.12643E+17,0,0,260416,93254,61,260416,0,0,0,0,0,0,6442,30,0,9E+21,,,,,,,,,,10,11,0,0,0,0,0,1600,0,0,0,577,5,T,T,53,HITACHI ADM2 XP,0,"""",,4H,0,0,0,,0,764,0,0,34723282.96,0,0,0,0,0,0,0,3.47233E+18,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,3.0034E+12,3,34,18,52,0,0,5577557613021139=2708000000000000004500,0,0,45,0,T5,5,77N,N,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,0,N,,N,N,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,0,32:54.0,10:51.6,1,NULL,NULL
DR,2.12643E+17,1,UGAR,UAT1,SCB,S1GCR6944,UAT1,SCB,5.57756E+15,111,1,R,31,210,0,1,5,2.12643E+17,2.12643E+17,2.12643E+17,260416,93310,1,260416,0,0,0,0,0,0,6443,30,0,9E+21,,,,,,,,,,10,11,0,3612841696,0,0,0,1600,494213.25,494213.25,0,578,5,T,T,0,HITACHI ADM2 XP,0,"""",,4H,0,0,0,,0,764,0,0,34723282.96,0,0,0,0,0,0,0,3.47233E+18,0,0,0,P,0,0,0,0,0,0,0,,,,,1.5E+13,15,0,0,0,0,0,0,0,,,,,,,,0,3.0034E+12,3,34,18,52,501,,5577557613021139=2708000000000000004500,0,0,45,0,T5,5,78N,N,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,0,N,,N,Y,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,0,33:10.0,10:51.6,1,NULL,NULL
DR,2.12643E+17,2,UGAR,UAT1,SCB,S1GCR6944,UAT1,SCB,5.57756E+15,111,1,R,31,210,0,1,3,2.12643E+17,0,0,260416,93400,90,260416,0,0,0,0,0,0,6444,30,0,9E+21,,,,,,,,,,31,0,41,0,0,0,0,0,0,0,0,0,5,F,F,1,HITACHI ADM2 XP,SIAM COMERCIAL,#,,5H,0,0,0,0,0,764,0,0,34723282.96,0,0,0,0,0,0,0,3.47233E+18,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,3.0035E+12,3,35,19,53,0,0,5577557613021139=2708              4500,,,45,0,F5,0,00N,N,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,0,N,,N,N,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,0,34:00.0,10:51.6,,NULL,NULL
DR,2.12643E+17,2,UGAR,UAT1,SCB,S1GCR6944,UAT1,SCB,5.57756E+15,111,1,R,31,210,0,1,5,2.12643E+17,2.12643E+17,2.12643E+17,260416,93410,17,260416,0,0,0,0,0,0,6445,30,0,9E+21,,,,,,,,,,35,0,1,0,0,5013248281,0,0,0,0,501000000,579,5,T,T,0,HITACHI ADM2 XP,0,AT         #,,5H,0,0,0,,0,764,,0,0,,,,0,0,0,0,TESTFISUAT,0,0,0,P,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,3.0035E+12,3,35,19,53,,501,5577557613021139=2708000000000000004500,0,0,45,0,T5,5,79N,N,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,0,N,,N,Y,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,34:10.0,10:51.6,,NULL,NULL
DR,2.12643E+17,1,UGAR,UAT1,SCB,S1GCR6944,UAT1,SCB,5.57756E+15,111,1,R,30,210,0,1,5,2.12643E+17,2.12643E+17,2.12643E+17,260416,93451,79,260416,0,0,0,0,0,0,6447,30,0,9E+21,,,,,,,,,,20,0,1,0,0,5013248281,0,4900,70526.3,70526.3,501000000,581,5,T,T,0,HITACHI ADM2 XP,3003004000,AT         #,,5H,0,0,0,,0,764,,0.0004003,0,,,4003003,0,4,3,3,TESTFISUAT,0,0,0,P,0,0,0,0,1,0,0,,,,,2E+13,20,10,0,0,0,0,0,0,,,,,,,,0,3.0035E+12,3,35,19,53,,501,5577557613021139=2708000000000000004500,0,0,45,0,T5,5,81N,N,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,0,N,,N,Y,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,34:51.0,10:51.6,,NULL,NULL
DR,2.12643E+17,2,UGAV,UAT1,SCB,S1GVT6102,UAT1,SCB,5.57756E+15,111,1,R,31,210,0,1,3,2.12643E+17,0,0,260416,93648,53,260416,0,0,0,0,0,0,197,22,0,9E+21,,,,,,,,,,31,0,41,0,0,0,0,0,0,0,0,0,5,F,F,1,NCR S6622 XP,SCB,,,H,0,0,0,0,0,764,0,0,34723282.96,0,0,0,0,0,0,0,3.47233E+18,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,1.70008E+13,17,8,11,0,0,0,5577557613020065=2708              8300,,,83,0,F5,0,00N,N,,,,,,,,,,,,,1.70008E+21,17,8,11,0,0,0,0,0,,,,,,,0,N,,N,N,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,0,36:48.0,10:51.6,,NULL,NULL
DR,2.12643E+17,2,UGAV,UAT1,SCB,S1GVT6102,UAT1,SCB,5.57756E+15,111,1,R,31,210,0,1,5,2.12643E+17,2.12643E+17,2.12643E+17,260416,93703,54,260416,0,0,0,0,0,0,198,22,0,9E+21,,,,,,,,,,35,0,1,0,0,4681202362,0,0,0,0,111000000,811,5,T,T,0,NCR S6622 XP,0,I UAT,,H,0,0,0,,0,764,,0,0,,,,0,0,0,0,DATAMEOWI UAT,0,0,0,P,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,1.70008E+13,17,8,11,0,,111,5577557613020065=2708000000000000008300,0,0,83,0,T5,8,11N,N,,,,,,,,,,,,,1.70008E+21,17,8,11,0,0,0,0,0,,,,,,,0,N,,N,Y,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,37:03.0,10:51.6,,NULL,NULL
DR,2.12643E+17,1,UGAV,UAT1,SCB,S1GVT6102,UAT1,SCB,5.57756E+15,111,1,R,30,210,0,1,5,2.12643E+17,2.12643E+17,2.12643E+17,260416,93743,0,260416,0,0,0,0,0,0,200,22,0,9E+21,,,,,,,,,,20,0,1,0,0,4681202362,0,7500,25850,225850,111000000,813,5,T,T,0,NCR S6622 XP,15000000,I UAT,,H,0,0,0,,0,764,,0.0000015,0,,,15000,0,0,15,0,DATAMEOWI UAT,0,0,0,P,0,0,0,0,1,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,1.70008E+13,17,8,11,0,,111,5577557613020065=2708000000000000008300,0,0,83,0,T5,8,13N,N,,,,,,,,,,,,,1.70008E+21,17,8,11,0,0,0,0,0,,,,,,,0,N,,N,Y,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,37:43.0,10:51.6,,NULL,NULL
DR,2.12643E+17,2,UGAV,UAT1,SCB,S1GVT6102,UAT1,SCB,5.57756E+15,111,1,R,31,210,0,1,3,2.12643E+17,0,0,260416,93822,82,260416,0,0,0,0,0,0,201,22,0,9E+21,,,,,,,,,,31,0,41,0,0,0,0,0,0,0,0,0,5,F,F,1,NCR S6622 XP,SCB,,,H,0,0,0,0,0,764,0,0,34723282.96,0,0,0,0,0,0,0,3.47233E+18,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,0,1.70008E+13,17,8,11,0,0,0,5577557613020065=2708              8300,,,83,0,F5,0,00N,N,,,,,,,,,,,,,1.70008E+21,17,8,11,0,0,0,0,0,,,,,,,0,N,,N,N,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,0,38:22.0,10:51.6,,NULL,NULL
